type,species,q1,q2,q3,q4,q5,q6
p,49,0.835,0.355,0.40,0.87,0.64,0.81
n,45,7,16,11,29,16,6
p,13,0.111,0.139,0.139,0.194,0.67,0.36
n,21,0,0,0,7,1,0
n,31,0,0,0,2,0,1
n,44,0,0,0,3,0,0
n,38,10,5,0,4,2,8
p,73,0,0,0,0,0.21,0
n,22,0,0,0,0,2,0
p,74,0,0,0,0,0,0.03
n,20,5,3,0,0,0,0
n,43,3,0.0,0,0,0
n,26,0,5,0,0,0,0
n,32,0,1,0,0,0,0
p,5,0,0.028,0,0,0,0

