type,species,q1,q2,q3,q4,q5,q6
n,38,4,1,1,2,8,9
n,45,3,7,3,1,8,1
p,13,0.025,0.038,0.11,0,0.20,0.40
n,26,0,0,0,1,0,0
n,22,0,0,0,0,8,0
p,49,0.27,0,0,0,0,0

