type,species,q1,q2,q3,q4,q5,q6
p,58,0.611,0.98,0.111,0.333,0.89,0.94
p,49,0.111,0.028,0.138,0.25,0.06,0
n,38,0,0,4,0,0,0
p,73,0.472,0.8,0.083,0.055,0.7,0.9
n,42,0,0,1,0,0,0
n,38,0,0,4,1,0,0
n,44,0,0,1,1,0,0
n,26,10,8,4,9,19,6
n,20,0,0,0,1,0,0
p,48,0,0,0,0,0.04,0.083
n,43,0,1,0,0,2,1
n,18,0,0,0,0,1,0
p,78,0,0,0,0,0.005,0
n,76,4,0,0,0,0,0
n,45,0,0,17,0,0,0
p,13,0.194,0.027,0,0,0,0

