type,species,q1,q2,q3,q4,q5,q6
n,26,0,0,2,0,0,0
n,45,0,0,2,1,0,2
p,35,0.055,0.83,0.028,0.61,0.27,0.06
n,22,0,0,1,0,0,0
p,68,0,0.027,0,0,0,0

